PROMODS_PO,STM
NOVO MESTO (KRKA - REVOZ),177
LJ (PERUZIJEVA - BARJANSKA),178
LJ (ZADOBROVA  - LESKOVŠKOVA C.),179
LJ (LITIJSKA - MALENCE),180
KANDRŠE - VAČE-SP.HOTIČ,181
MORAVČE - TIHABOJ-MIRNA,182
SMEDNIK - ZAMEŠKO-KOSTANJEVICA,183
ČATEŽ OB SAVI - MOKRICE,184
PIŠECE - ZG.POHANCA-KRŠKO,185
OREŠJE/SEVNICI - PLANINA,186
LAŠKO - BREZE-ŠENTJUR,187
ŠMARJE PRI JELŠAH - MESTINJE,188
ZALI LOG - ČEŠNJICA,189
BLED - PRISTAVA,190
KRIŽAJ - PODBOČJE-ŠUTNA,191
VALETA - BELI KRIŽ-PIRAN,192
NOVO MESTO (LOČNA - KRKA),193
PRIKLJ. NM ZAHOD - V. BUČNA VAS,194
ŽIČE - KARTUZIJA,195
SL.BISTRICA - PRAGERSKO,196
VRŠIČ - TRENTA,197
TRENTA - BOVEC,198
LJ (VODNIKOVA  -  PODUTIK),199
KRANJ - LETALIŠČE BRNIK,200
LUČE - SESTRE LOGAR,201
RADMIRJE - LUČE,202
VOLČJA DRAGA - DORNBERK,203
DORNBERK - ŠTANJEL,204
DUTOVLJE - SEŽANA,205
SEŽANA - DIVAČA,206
MATAVUN - VREME,207
DORNBERK - SELO,208
AJŠEVICA - KROMBERK,209
FAMLJE - RIBNICA,210
STARO SELO - KOBARID,212
PLAVE - GONJAČE,213
OPATJE SELO - KOMEN,215
KOMEN - KOBJEGLAVA,216
ŠTANJEL - MANČE,217
KOMEN - GORJANSKO,218
SOLKAN MOST - GONJAČE,219
KRANJSKA GORA  -  ERIKA,220
BERTOKI - SV. ANTON,221
KROMBERK  -  ROŽNA DOLINA,222
COL - PREDMEJA,223
LOKVE - ČEPOVAN,224
GRGAR - LOKVE,225
PREM - ČELJE,226
NG(R. DOLINA)  -  ŠEMPETER,227
ZBILJE - VODICE,228
VODICE - MOSTE,229
MOSTE - DUPLICA,230
MOSTE - DUPLICA,230
KAMNIK (MEKINJE) - SP.  STRANJE,231
RADMIRJE - MOZIRJE,232
STAHOVICA - ČRNIVEC,233
GORNJI GRAD - RADMIRJE,234
GORJE - BLED,235
KRNICA - ZATRNIK,236
ČRNIVEC - GORNJI GRAD,237
