PROMODS_PO,STM
VITOMARCI - GABRNIK,765
JANEŽOVSKI VRH - DESTRNIK,766
JANEŽOVCI - DOLGE NJIVE,767
JURKLOŠTER - DEŽNO,768
RIMSKE TOPLICE - JURKLOŠTER,769
ČRNI KAL  -  OSP,770
RIŽANA - KORTINE,771
SV. ANTON - GRAČIŠČE,772
PODVIN - ČRNIVEC,773
ZG.RADOVNA - DOVJE,774
ZG.RADOVNA - DOVJE,774
MOJSTRANA - VRATA,775
DOVJE - MOJSTRANA-KRAJE,776
KR.GORA - GOZD MARTULJEK,777
RATEČE - PODKOREN,778
RATEČE - PLANICA,779
STAHOVICA - KAM.BISTRICA,780
SP.BRNIK - MOSTE,781
SEŽANA - FERNETIČI,782
GORJANSKO - ŽEKENC,783
VIDEM - RAŠICA,784
VIDEM - PRI CERKVI STRUGE,785
ŠTORE - LAŠKA VAS,786
BRSTNIK  -  LAŠKO,787
TRŽIŠČE - HOTEMEŽ,788
ZABIČE - NOVOKRAČINE,789
STAROD - MEJA RH,790
KRAJNA VAS - DUTOVLJE,791
KIDRIČEVO - HAJDINA,792
PRIKLJ. LENART - LENART,793
GORNJA RADGONA,794
DOLENJE KRONOVO - GOR. GOMILA,799
SLIVNICA - FRAM,802
ČRNI KAL  -  RAZCEP SERMIN,803
PRIKLJ. LOGATEC,805
PRIKLJ. MIRNA PEČ  -  NM PRIKLJ. Z,806
PRIKLJ. DIVAČA,808
PRIKLJ. DIVAČA,809
PRIKLJ. LESCE - JESENICE,810
PRIKLJ. LESCE - JESENICE,810
SENOŽEČE  -   GABRK,812
GABRK - SEŽANA V,813
VOGRSKO - ŠEMPETER,815
SELO  -  VOGRSKO,816
PRIKLJ. SENOŽEČE,818
UNEC - POSTOJNA,822
PRIKLJ. KOZINA - KP,823
PRIKLJ. KOZINA - KP,823
PRIKLJ. KOZINA - KP,823
PRIKLJ. UNEC - LJ,824
PRIKLJ. UNEC - KP,825
PRIKLJ. POSTOJNA - LJ,826
PRIKLJ. POSTOJNA - LJ,826
PRIKLJ. RAZDRTO - LJ,828
PRIKLJ. RAZDRTO - KP,829
DOMŽALE - ŠENTJAKOB,830
PRIKLJ. LUKOVICA,831
LJ (ŠENTVID - PODUTIK),832
BLAGOVICA - LUKOVICA,834
PRIKLJ. KRTINA,835
VRANSKO - TROJANE,836
ŠENTILJ  -  PESNICA,837
SL.BISTRICA - SL.KONJICE,838
ŠENTRUPERT - VRANSKO,839
MB (PTUJSKA) - ROGOZA,840
VUČJA VAS - MURSKA SOBOTA,841
PRIKLJ.BLAGOVICA - CE,842
PRIKLJ. SL. KONJICE - MB,844
PRIKLJ. SL. KONJICE - MB,844
PRIKLJ. SL. KONJICE - CE,845
PRIKLJ. DRAMLJE - MB,846
PRIKLJ. DRAMLJE - CE,847
PRIKLJ. FRAM  -  MB,848
PRIKLJ. FRAM -  CE,849
BRNIK  -  VODICE,850
PRIKLJ. KRTINA,851
VODICE  - LJ ( ŠMARTNO),853
BREZOVICA - VRHNIKA,854
LJ (BRDO  -  KOZARJE),855
PRIKLJ. SL. BISTRICA J. - MB,856
PRIKLJ. SL. BISTRICA J - CE,857
PRIKLJ. VRHNIKA - LJ,858
PRIKLJ. VRHNIKA - LJ,858
PRIKLJ. VRHNIKA - KP,859
PLAVJE - ŠKOFIJE,860
PRIKLJUČEK PLAVJE - MP,862
SEŽANA Z  -  FERNETIČI,863
PRIKLJ. FERNETIČI,864
VIPAVA - AJDOVŠČINA,865
PRIKLJ. SELO - AJDOVŠČINA,866
PRIKLJ.SELO - VRTOJBA,867
PRIKLJ.ŠENTILJ - MP ŠENTILJ,868
POČIVALIŠČE ŠENTILJ - ŠENTILJ,869
IVANČNA GORICA - BIČ,870
PRIKLJ. DRNOVO - NM,873
PRIKLJ. DRNOVO - ČATEŽ,874
SMEDNIK   -  DRNOVO,875
PRIKLJ. ŠMARJE - SAP NM,876
DRAGUČOVA - PERNICA,877
PRIKLJ.PERNICA - MB,878
PRIKLJ.PERNICA - MB,878
ŠEMPETER - VRTOJBA,880
PRIKLJ. VUČJA VAS - MB,881
PRIKLJ. VUČJA VAS  - MS,882
DOLGA VAS - LENDAVA,884
PRIKLJ. LENDAVA - MS,885
PRIKLJ. LENDAVA - PINCE,886
PRIKLJ. MURSKA SOBOTA - MB,887
PRIKLJ. MURSKA SOBOTA - LENDAVA,888
DRAGUČOVA - MB (ZRKOVSKA),889
MARJETA - ZLATOLIČJE,890
LJ (LESKOŠKOVA C. - ŠMARTINSKA),891
KOZINA - KASTELEC,893
RAZCEP NANOS,894
RAZCEP NANOS,895
RAZCEP NANOS,895
RAZCEP NANOS,895
SL.KONJICE - DRAMLJE,896
LOGATEC - UNEC,897
MB (OTOK) - MB (KOROŠKI MOST),900
JAGODJE-VALETA,901
KRAJE - HRUŠICA,902
TREBNJE - MIRNA,903
ŽALEC - VRBENSKO POLJE,904
HOČE - PRIKLJ.  ROGOZA,905
SLIVNICA - FRAM,906
DOL. LAKOŠ - LENDAVA,907
D.VRTOJBA -  GORNJI MIREN,908
UNEC - RAKEK,909
TEKAČEVO - ROGAŠKA SLAT.,910
HAJDINA - TURNIŠČE,911
SP.HOČE - ZG.HOČE,912
SP.HOČE - ZG.HOČE,912
KOKRICA - KRANJ,913
ROBIČ - STARO SELO,914
VRANSKO - LOČICA,915
DOMŽALE - STOB,916
AJDOVŠČINA  (OBVOZNICA),917
MENGEŠ (KOLODVORSKA C.) - LOKA,918
OTOČEC - KRONOVO,919
SOTESKA - STRAŽA,920
KOTLJE - STARI TRG,921
MAČKOVEC - LEŠNICA,922
RADLJE,923
OBVOZNICA ŠKOFJA LOKA,924
GRM - TREBNJE,925
ILIRSKA BISTRICA (NIKOLA TESLA),926
ROGOZNICA - JANEŽOVCI,927
PTUJ - ROGOZNICA,928
ŠENTJURIJ-MIRNA PEČ,929
SOTESKA - BITNJE,930
LESKOVEC - DRNOVO,931
BOŠTANJ - IMPOLJCA,932
TROJANE  -  BLAGOVICA,2001
DRAMLJE - LJUBEČNA,2004
FRAM - SL.BISTRICA-SEVER,2005
SL.BISTRICA - SEVER-JUG,2006
PERNICA - LENART,2007
MURSKA SOBOTA - LIPOVCI,2009
LENDAVA - PINCE,2010
SV.JURIJ OB ŠČAVNICI - VUČJA VAS,2011
DIVAČA - KOZINA,2101
VRHNIKA - LOGATEC,2103
POSTOJNA - RAZDRTO,2105
RAZDRTO - NANOS,2106
NANOS  -  SENOŽEČE,2108
GABRK  -  DIVAČA,2109
NANOS - (RAZDRTO) - PODNANOS - VIPAVA,2110
LESCE - RADOVLJICA,2201
DRNOVO  -  BREŽICE,2302
ŠMARJE SAP - CIKAVA,2303
SNEBERJE - LJ (ZADOBRAVA),2401
