STM,STM_lon,STM_lat,PROMODS_PO
91.0,15.2021039972422,46.1214926433606,ŠMARJETA - RIMSKE TOPLICE
92.0,15.1879680493937,46.06687466978,ZIDANI MOST - RADEČE
93.0,13.5249207292377,46.2469562153879,STARO SELO - BREGINJ-MOST
94.0,15.0445906527825,46.2836097457312,PARIŽLJE - BRASLOVČE-M.BRASLOVČE
95.0,15.4850606042319,45.9366343758889,KRŠKO - LESKOVEC
96.0,13.5169184021768,46.2835803877094,ŽAGA - KOBARID
97.0,13.7120383106571,46.1834698042045,IDRSKO - PERŠETI
98.0,13.6802806917999,46.0013819561985,PREVAL - GRGAR-ČEPOVAN
99.0,13.6512517195082,45.9765603873532,PLAVE - SOLKAN
100.0,14.1408881586434,45.925144635757,GODOVIČ - KALCE
101.0,15.2246820500578,46.0392209692515,RADEČE - BOŠTANJ
102.0,13.9787650953798,46.1226727429095,CERKNO - ŽELIN
103.0,15.4829871188626,45.9709698562108,BRESTANICA - KRŠKO
104.0,13.8005458229559,46.1234457894623,BAČA - DOL. TREBUŠA
105.0,14.0807476242548,45.9551984503337,GODOVIČ - ČRNI VRH
106.0,14.3515392069171,46.166750685347,ŠKOFJA LOKA - JEPRCA
107.0,14.3132402916326,46.1672744606561,ŠKOFJA LOKA
108.0,13.7692448179338,46.148459793815,BAČA - KNEŽA
109.0,14.1244095609558,46.3670512630398,LESCE - BLED
110.0,14.059841659398,46.3206447626621,PRISTAVA - SOTESKA
111.0,14.3276756002039,46.1952971797637,KRANJ - ŠKOFJA LOKA
112.0,14.227912781017,46.1311282153069,ŠK.LOKA - GORENJA VAS
114.0,14.645936478107,46.0898929360498,ŠENTJAKOB - DOLSKO
115.0,14.5594960218105,46.1850577434952,MOSTE - MENGEŠ
116.0,14.5668890672067,46.1507244919971,LOKA - TRZIN
117.0,14.5904908545648,45.9044810752557,ŠKOFLJICA - RAŠICA
118.0,15.1712026440585,45.8183184003678,NOVO MESTO (KRKA)
119.0,14.8693173965096,45.5713580268676,LIVOLD - ŠTALCERJI
120.0,14.5787208905023,46.09113272757,ČRNUČE - ŠENTJAKOB
121.0,14.7355858986914,46.0884783806292,DOLSKO - RIBČE
122.0,15.034906735987,46.1243141253839,ZAGORJE - TRBOVLJE
123.0,15.0888216121262,46.1211888675957,TRBOVLJE - HRASTNIK
124.0,15.1211260441465,46.1076173301554,HRASTNIK - ZIDANI MOST
125.0,15.5746123062165,46.3323701553071,SL.BISTRICA - POLJČANE
126.0,15.5722102628629,46.2467550071127,POLJČANE - PODPLAT
127.0,15.0349516193996,46.1333926179579,BEVSKO - MOST ČEZ SAVO
128.0,15.6081234243098,46.1580792633068,MESTINJE - GOLOBINJEK
129.0,15.6295047206537,45.91690602408,BIZELJSKO - BREŽICE
131.0,15.0491210395472,46.549660299102,OTIŠKI VRH - SL.GRADEC
132.0,15.1436609111098,46.3480546483212,VELENJE - ČRNOVA
133.0,15.1797942221739,46.2817652653558,ČRNOVA - ARJA VAS
134.0,15.3898060244572,46.2137224241403,ŠTORE -  ŠENTJUR
135.0,15.4313978584751,46.2500566863757,DOLE - PONIKVA-LOČE
136.0,15.5769717421523,46.244481654312,PODPLAT - TEKAČEVO
137.0,16.1688623091514,46.7416993454223,MAČKOVCI - MARTJANCI
138.0,15.0214396955956,46.3150172662193,LETUŠ - M.BRASLOVČE
139.0,14.9537165303036,46.3252409242581,MOZIRJE
140.0,16.214234708181,46.4570772418296,STROČJA VAS - PAVLOVCI
141.0,16.4591530334998,46.5931965484161,DOLGA VAS - MP DOLGA VAS
142.0,16.0485726410645,46.6785855824763,GEDEROVCI - MP GEDEROVCI
143.0,16.4417595063207,46.5235197529141,PETIŠOVCI - MP PETIŠOVCI
144.0,15.7856671819032,46.7066619467832,MOST ČEZ MURO - MP TRATE
145.0,15.765760256268,46.3420071921752,MAJŠPERK - JUROVCI
146.0,16.2081852704297,46.6321055533735,LIPOVCI - BRATONCI
147.0,15.1421639894052,45.8605412788954,ŠENTJURIJ - PRIKLJ. NM ZAHOD
148.0,16.183653330316,46.6546205693733,M.SOBOTA - LIPOVCI
149.0,13.7335435314101,45.5255398407263,KOPER - ŠMARJE
150.0,13.6742245377091,45.4745656886678,ŠMARJE - DRAGONJA
151.0,13.8752662683724,45.4975417576287,GRAČIŠČE - SOČERGA
152.0,14.3262815008453,45.7937097539257,RAKOV ŠKOCJAN - PODSKRAJNIK
153.0,14.241129830542,45.9397093049494,VRHNIKA - LOGATEC
154.0,15.2485984475697,45.456406942829,VINICA - MOST ČEZ KOLPO
155.0,15.3225618870211,45.6359468663475,METLIKA - MP METLIKA
156.0,16.1551306140946,46.4029699605322,ORMOŽ - MP ORMOŽ
158.0,14.4313583297063,45.9067000478017,KRIM - RAKITNA
160.0,14.9831752953278,46.5496527573702,RAVNE - DRAVOGRAD
161.0,14.5356228052862,45.9542822982171,ŠKOFLJICA - IG
162.0,14.759194698688,45.6594006048205,DOL. VAS  -  GOTEN. - KOČ. REKA
163.0,14.9758880860301,45.8015851280779,DVOR - SOTESKA
164.0,15.1257409750134,45.7296840677962,GABER -  URŠNA S. - NOVO M.
165.0,14.4377330178167,46.0288136336648,LJ(VIČ) - AC BREZOVICA
166.0,15.0813012846355,46.3679288264057,PESJE - VELENJE
167.0,15.0531037538164,46.3742348892207,ŠOŠTANJ - PESJE
168.0,15.0581216547184,46.3627609954082,PESJE - GORENJE
169.0,14.6881829183829,46.2746249700763,PODLOM - KR.RAK
172.0,14.5426107731714,46.1041760240594,LJ (ČRNUČE - BRNČIČEVA)
173.0,14.9809469724351,45.9178035856854,ČATEŽ - TREBNJE
174.0,14.5012799784699,46.0843711151623,LJ (SAVLJE - IND. CONA ŠIŠKA)
175.0,14.8919649893362,46.2839029306762,NAZARJE - GORNJI GRAD
176.0,15.0345578344651,46.3205021385774,REČICA - LETUŠ
177.0,15.180759582475,45.8011982547984,NOVO MESTO (KRKA - REVOZ)
178.0,14.5184420259468,46.0197872040588,LJ (PERUZIJEVA - BARJANSKA)
179.0,14.5663992135152,46.0675940794596,LJ (ZADOBROVA  - LESKOVŠKOVA C.)
180.0,14.5694124170751,46.0306700006876,LJ (LITIJSKA - MALENCE)
181.0,14.8282065025686,46.120225995755,KANDRŠE - VAČE-SP.HOTIČ
182.0,15.0112727001645,45.9909202653321,MORAVČE - TIHABOJ-MIRNA
183.0,15.3705009163001,45.8974925440007,SMEDNIK - ZAMEŠKO-KOSTANJEVICA
184.0,15.6740703322032,45.8648410351904,ČATEŽ OB SAVI - MOKRICE
185.0,15.5466753073927,45.9781950072572,PIŠECE - ZG.POHANCA-KRŠKO
186.0,15.3646961371328,46.0628363259022,OREŠJE/SEVNICI - PLANINA
187.0,15.3545876001128,46.1690214593302,LAŠKO - BREZE-ŠENTJUR
188.0,15.5615380503547,46.2291102746439,ŠMARJE PRI JELŠAH - MESTINJE
189.0,14.1467679911465,46.2152011944539,ZALI LOG - ČEŠNJICA
190.0,14.1028264486043,46.363564358383,BLED - PRISTAVA
191.0,15.4725669905034,45.8613025281408,KRIŽAJ - PODBOČJE-ŠUTNA
192.0,13.5885705334254,45.5175347563093,VALETA - BELI KRIŽ-PIRAN
193.0,15.1774925643834,45.825435123955,NOVO MESTO (LOČNA - KRKA)
194.0,15.1569416001633,45.8400513037568,PRIKLJ. NM ZAHOD - V. BUČNA VAS
195.0,15.439092349369,46.3038851295477,ŽIČE - KARTUZIJA
196.0,15.6069901017297,46.3987454219867,SL.BISTRICA - PRAGERSKO
197.0,13.7467682436175,46.4068009705263,VRŠIČ - TRENTA
198.0,13.5739288238825,46.3431116106181,TRENTA - BOVEC
199.0,14.4700430815482,46.0759172852515,LJ (VODNIKOVA  -  PODUTIK)
200.0,14.3828568741708,46.2417461681148,KRANJ - LETALIŠČE BRNIK
201.0,14.6967990559945,46.418783006117,LUČE - SESTRE LOGAR
202.0,14.8269596860459,46.3470657277223,RADMIRJE - LUČE
203.0,13.712961203509,45.8879847521064,VOLČJA DRAGA - DORNBERK
204.0,13.7891326530303,45.8584658597439,DORNBERK - ŠTANJEL
205.0,13.8603420203124,45.7507071276305,DUTOVLJE - SEŽANA
206.0,13.8778092908863,45.7102348556204,SEŽANA - DIVAČA
207.0,13.9934040846451,45.6615045307239,MATAVUN - VREME
208.0,13.7750241976103,45.8934258765054,DORNBERK - SELO
209.0,13.6683730231959,45.9567856366646,AJŠEVICA - KROMBERK
210.0,14.0970825551104,45.6485478951628,FAMLJE - RIBNICA
212.0,13.5767639248831,46.2481884142772,STARO SELO - KOBARID
213.0,13.5879711863706,46.0392586104398,PLAVE - GONJAČE
215.0,13.6462132227095,45.839812892734,OPATJE SELO - KOMEN
216.0,13.773694706439,45.8166674807881,KOMEN - KOBJEGLAVA
217.0,13.9382837385544,45.8179078426207,ŠTANJEL - MANČE
218.0,13.742958694854,45.8152271889818,KOMEN - GORJANSKO
219.0,13.6107999725053,45.9866219224023,SOLKAN MOST - GONJAČE
220.0,13.7848841668932,46.4709924482942,KRANJSKA GORA  -  ERIKA
221.0,13.8155989866911,45.5324658320053,BERTOKI - SV. ANTON
222.0,13.6437963679274,45.9446287697749,KROMBERK  -  ROŽNA DOLINA
223.0,13.9863381566169,45.8887618880022,COL - PREDMEJA
224.0,13.7889874984649,46.0146678753926,LOKVE - ČEPOVAN
225.0,13.6641481988353,45.9839189415281,GRGAR - LOKVE
226.0,14.1826567641633,45.6034791679466,PREM - ČELJE
227.0,13.6429387598908,45.9327143617813,NG(R. DOLINA)  -  ŠEMPETER
228.0,14.4272175410172,46.1667487464259,ZBILJE - VODICE
229.0,14.5218790280454,46.1923841308905,VODICE - MOSTE
230.0,14.5636730650235,46.1974721667658,MOSTE - DUPLICA
231.0,14.6107140683854,46.2314624610314,KAMNIK (MEKINJE) - SP.  STRANJE
232.0,14.9127831716378,46.3156806744541,RADMIRJE - MOZIRJE
233.0,14.6468435598953,46.2625390361831,STAHOVICA - ČRNIVEC
234.0,14.8185161692197,46.2989806112368,GORNJI GRAD - RADMIRJE
235.0,14.0872724675061,46.3798344306518,GORJE - BLED
236.0,14.054530337127,46.3712375526144,KRNICA - ZATRNIK
237.0,14.7198323933067,46.2714313391194,ČRNIVEC - GORNJI GRAD
239.0,13.9595549725683,46.2846972974815,BITNJE - JEREKA
240.0,13.864915260825,46.2787509388751,JEZERO - ZLATOROG
241.0,14.0824709240205,46.4174222125476,JAVORNIK - GORJE
242.0,14.4978852953229,46.3193241868068,SP. JEZERSKO - PREDDVOR
244.0,14.3786606510204,46.2401309761487,KR(PRIMSKOVO - LABORE)
245.0,14.3283296632879,45.8084966028836,RAKEK - CERKNICA
246.0,14.422524546193,45.7710559975301,CERKNICA - BL.POLICA
247.0,14.5058919957061,45.7728402295894,BL.POLICA - SODRAŽICA
248.0,14.6486538305723,45.7568994472817,SODRAŽICA - ŽLEBIČ
249.0,14.4196915174097,46.2755975057972,PREDDVOR - KR(PRIMSKOVO)
250.0,14.1841475372853,46.3169095978929,LESCE - K.GORICA-LIPNICA
251.0,14.2066581652667,46.3037876276786,LIPNICA - KROPA
252.0,13.7051861409062,45.9176442940512,TRI HIŠE - PRIKLJ. VOGRSKO
253.0,13.9806708656174,46.2727047300248,BOH.BISTRICA - VRESJE
254.0,14.207363299153,46.3044043220009,LIPNICA - OVSIŠE
255.0,13.8915073082592,46.2746926750658,BOH.BISTRICA - JEZERO
256.0,14.1469397876795,46.3975956491998,ŽIROVNICA - BEGUNJE
257.0,14.2148941500735,46.3798349714037,BEGUNJE - BISTRICA(TRŽIČ)
258.0,14.3451160179446,46.2935864565092,GOLNIK - KOKRICA
259.0,14.5885584214998,46.1929033387148,MENGEŠ - DUPLICA
260.0,14.4782350341494,46.1410972927859,LJ(ŠMARTNO) - VODICE
261.0,14.4878719265122,46.2229906137464,VODICE - SP.BRNIK
262.0,13.6704623053361,45.9119643119121,ŠEMPETER - VOLČJA DRAGA
