key_0,STM,Month,S1: Motor-MO,S2: Motor-MO,id_stevca,Lat,Lon,cesta,ime_smeri
109,109,2,0.12353801169590643,0.13450292397660818,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,3,1.4112903225806452,1.5961021505376345,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,4,3.4118055555555555,3.75625,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,5,7.111559139784946,7.61760752688172,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,6,9.291666666666666,10.7625,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,7,8.606220657276996,11.565727699530516,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,8,9.09094982078853,12.466845878136201,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,9,7.42962962962963,8.353703703703705,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,10,1.8691756272401434,2.1196236559139785,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,11,0.4708333333333333,0.5083333333333333,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
109,109,12,0.07123655913978495,0.07706093189964158,109.0,46.3670512630398,14.124409560955801,R1-209,Bled - Lesce
110,110,1,0.007168458781362007,0.0017921146953405018,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,2,0.016666666666666666,0.01568627450980392,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,3,0.4296594982078853,0.3951612903225806,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,4,1.4430555555555555,1.3120370370370371,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,5,3.1832437275985663,2.8122759856630823,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,6,4.673148148148148,4.170833333333333,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,7,5.271505376344086,4.729838709677419,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,8,5.280913978494624,4.689516129032258,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,9,3.0439814814814814,2.7685185185185186,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,10,0.8691756272401434,0.8490143369175627,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,11,0.13472222222222222,0.11805555555555555,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
110,110,12,0.008512544802867384,0.008960573476702509,110.0,46.3206358731826,14.059854797407699,R1-209,Pristava - Soteska
